Country,IndexRank,GlobalIndex,ValueRank,Value,Region
Malta,93,0.682,123,14873,WESTERN EUROPE
Georgia,94,0.679,120,16142,EASTERN EUROPE AND CENTRAL ASIA
Tajikistan,95,0.678,146,7659,EASTERN EUROPE AND CENTRAL ASIA
Paraguay,96,0.678,100,32291,LATIN AMERICA AND THE CARIBBEAN
Armenia,97,0.677,135,12031,EASTERN EUROPE AND CENTRAL ASIA
Azerbaijan,98,0.676,88,45483,EASTERN EUROPE AND CENTRAL ASIA
Cambodia,99,0.676,109,24360,EAST ASIA AND THE PACIFIC
China,100,0.674,2,14092514,EAST ASIA AND THE PACIFIC
Malawi,101,0.672,148,6746,SUB-SAHARAN AFRICA
Brunei Darussalam,102,0.671,126,14438,EAST ASIA AND THE PACIFIC
Hungary,103,0.67,57,163541,EASTERN EUROPE AND CENTRAL ASIA
Malaysia,104,0.67,36,364919,EAST ASIA AND THE PACIFIC
Swaziland,105,0.67,156,4572,SUB-SAHARAN AFRICA
Maldives,106,0.669,155,4825,SOUTH ASIA
Liberia,107,0.669,161,3332,SUB-SAHARAN AFRICA
India,108,0.669,7,2848231,SOUTH ASIA
Sri Lanka,109,0.669,66,93454,SOUTH ASIA
Guatemala,110,0.667,70,82356,LATIN AMERICA AND THE CARIBBEAN
Nepal,111,0.664,105,27278,SOUTH ASIA
Mauritius,112,0.664,130,13297,SUB-SAHARAN AFRICA
Guinea,113,0.659,139,10854,SUB-SAHARAN AFRICA
Japan,114,0.657,3,5167051,EAST ASIA AND THE PACIFIC
Ethiopia,115,0.656,68,85664,SUB-SAHARAN AFRICA
Benin,116,0.652,138,11039,SUB-SAHARAN AFRICA
Tunisia,117,0.651,95,40298,MIDDLE EAST AND NORTH AFRICA
"Korea, Rep.",118,0.65,12,1693246,EAST ASIA AND THE PACIFIC
"Gambia, The",119,0.649,177,1085,SUB-SAHARAN AFRICA
United Arab Emirates,120,0.649,30,411827,MIDDLE EAST AND NORTH AFRICA
Burkina Faso,121,0.646,124,14607,SUB-SAHARAN AFRICA
Nigeria,122,0.641,31,408612,SUB-SAHARAN AFRICA
Angola,123,0.64,60,119428,SUB-SAHARAN AFRICA
Bhutan,124,0.638,165,2547,SOUTH ASIA
Fiji,125,0.638,152,5440,EAST ASIA AND THE PACIFIC
Bahrain,126,0.632,98,37841,MIDDLE EAST AND NORTH AFRICA
Algeria,127,0.629,54,197629,MIDDLE EAST AND NORTH AFRICA
Timor-Leste,128,0.628,164,2740,EAST ASIA AND THE PACIFIC
Kuwait,129,0.628,58,135305,MIDDLE EAST AND NORTH AFRICA
Qatar,130,0.626,55,183807,MIDDLE EAST AND NORTH AFRICA
Turkey,131,0.625,18,909885,MIDDLE EAST AND NORTH AFRICA
Mauritania,132,0.614,153,5435,MIDDLE EAST AND NORTH AFRICA
Côte d'Ivoire,133,0.611,87,48142,SUB-SAHARAN AFRICA
Egypt,134,0.608,49,237073,MIDDLE EAST AND NORTH AFRICA
Jordan,135,0.604,91,42553,MIDDLE EAST AND NORTH AFRICA
Morocco,136,0.598,59,120997,MIDDLE EAST AND NORTH AFRICA
Lebanon,137,0.596,84,53620,MIDDLE EAST AND NORTH AFRICA
Saudi Arabia,138,0.584,19,748003,MIDDLE EAST AND NORTH AFRICA
Mali,139,0.583,118,17907,SUB-SAHARAN AFRICA
"Iran, Islamic Rep.",140,0.583,29,418875,MIDDLE EAST AND NORTH AFRICA
Chad,141,0.575,137,11486,SUB-SAHARAN AFRICA
Pakistan,143,0.546,41,303993,SOUTH ASIA
Yemen,144,0.516,128,13840,MIDDLE EAST AND NORTH AFRICA
